"slot_id","category","market","brand","product","composition","size","current_price","regular_price","currency","price_eur","vat_wording","availability","delivery_threshold","returns","pdp_url","evidence_note","status"
"EXP-011","Кашемировые шарфы","EU","Loro Piana","Schal — Brown/Green Galles Mouliné","100% cashmere","180 × 45 cm","780","","EUR","780","не указано","One size available; Add to cart","Бесплатная доставка; DHL Express по Европе 3–5 рабочих дней","Бесплатный возврат; 30 дней","https://de.loropiana.com/de/herren/accessoires/schals/schal-FXM0131_F8NR.html","Официальная DE/EU PDP; product FXM0131; luxury anchor, отдельный SKU.","VERIFIED"
"EXP-012","Шерстяные шарфы","NL","Joe Merino","Classic Scarf True Navy","100% superfine merino wool; non-mulesed","180 × 30 cm","60","","EUR","60","Incl.btw","Add to cart / stock signal present","Бесплатная доставка; заказ до 23:00 отправляется в тот же день PostNL","Бесплатный возврат; 100 дней","https://www.joemerino.com/nl_nl/classic-scarf-true-navy/","Официальная NL PDP; отдельная шерстяная модель Classic Scarf, не cashmere SKU из EXP-001.","VERIFIED"
"EXP-013","Шерстяные шарфы","NL","ARKET","Wool Scarf — Black","100% wool","190 × 30 cm","49","","EUR","49","не указано","Add to bag","не указано","не указано","https://www.arket.com/en-nl/product/wool-scarf-black-1260190004/","Официальная NL PDP; style 1260190004; отличается от ранее собранного style 1260190001.","VERIFIED"
"EXP-014","Шерстяные шарфы","NL","REPEAT cashmere","Warme kabelsjaal van merinowol","100% merino wool","200 × 25 cm","89.95","139.95","EUR","89.95","incl BTW","Unavailable / notify me; PDP также указывает изготовление под заказ","Бесплатная доставка; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней","Возврат с небольшой комиссией; сумма не указана","https://www.repeatcashmere.com/nl/warme-kabelsjaal-van-merinowol---een-maat-comfort/700297-1025-0.html","Официальная NL PDP; article 700297-1025-0; отдельная merino модель с текущей и regular price.","VERIFIED"
"EXP-015","Шерстяные шарфы","PL","Wólczanka","Wełniany szal w prążki — czarny","100% merino wool","180 × 30 cm","129.99","249.99","PLN","","не указано","Universal; notify signal; dostępność w butikach; tylko online","Бутик 0 PLN; DPD Pickup 8.49 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN","30 дней","https://wolczanka.pl/czarny-szal-wolczanka-63024-1","Официальная PL PDP; код 0000JX5568; противоречивые online/store stock-сигналы сохранены без интерпретации.","VERIFIED"
"EXP-016","Шерстяные шарфы","PL","COS","Ribbed Wool Scarf","100% RWS wool","180 × 25.5 cm","180","325","PLN","","не указано","Add to cart","не указано","не указано","https://www2.hm.com/pl_pl/productpage.1315398001.html","Официальная PL PDP COS на домене группы H&M; style 1315398001; замена mass-market кандидата Reserved; цена, regular price, состав и размер подтверждены.","VERIFIED"
"EXP-017","Шерстяные шарфы","SE","Filippa K","Merino Check Scarf — Brown Check","100% wool; mulesing-free merino","190 × 50 cm","1400","","SEK","","не указано","ONE-S; Add to bag","Бесплатная доставка для участников; 1–3 дня","14 дней; комиссия 40 SEK; возврат в магазин бесплатно","https://www.filippa-k.com/se/en/merino-check-scarf/32627-0399.html","Официальная SE PDP; article 32627-0399-ONE-S; отдельная шерстяная модель.","VERIFIED"
"EXP-018","Шерстяные шарфы","SE","Acne Studios","Fringe Wool Scarf — Narrow, Light Grey Melange","100% RWS wool","200 × 45 cm including fringes; fringe ≈10 cm","2100","","SEK","","не указано","One size; Add to bag","Бесплатная доставка; срок рассчитывается после ввода почтового индекса","Бесплатный возврат с prepaid PostNord; возможен возврат в выбранные магазины","https://www.acnestudios.com/se/en/fringe-wool-scarf---narrow-light-grey-melange/CA0210-X92.html","Официальная SE PDP; style CA0210-X92 / FN-UX-SCAR000218; отдельная wool модель.","VERIFIED"
"EXP-019","Шерстяные шарфы","FI","Lapuan Kankurit","SAANA Wool Scarf — Dark Grey","100% merino wool","220 × 70 cm plus fringes; 0.38 kg","119","","EUR","119","inc. VAT","Add to cart; few left in Lapua and Helsinki stores","Delivery time less than 7 days; порог бесплатной доставки не указан","не указано","https://lapuankankurit.fi/shop/home-you/shawls-scarves/saana-wool-scarf-dark-grey-70-x-220-cm-fringes/","Официальная FI PDP; code 100739; Nordic design замена поискового seed MATKA; все обязательные product gates раскрыты.","VERIFIED"
"EXP-020","Шерстяные шарфы","DK","Mads Nørgaard","NPS Scarf Wool — Red/Ecru","100% wool","Size 1: 145 × 31 cm; Size 2: 205 × 68 cm","350","","DKK","","не указано","Sizes 1 and 2; Add to cart","1–3 рабочих дня; бесплатно в parcel shop от 799 DKK","Return portal; срок не указан","https://www.madsnorgaard.dk/products/nps-scarf-wool-red-ecru","Официальная DK PDP; style 102040; Nordic design замена seed Silkeborg; обе размерные версии раскрыты.","VERIFIED"
"EXP-021","Шерстяные шарфы","EU","Johnstons of Elgin","Ethie Navy & Lime Wool Scarf","100% lightweight wool","180 × 70 cm","225","","EUR","225","не указано","Sold out","Бесплатная доставка всех онлайн-заказов","14 дней; персонализация исключает возврат","https://johnstonsofelgin.com/de-de/products/ethie-navy-lime-wool-scarf","Официальная DE/EU PDP; SKU WD001986; отдельная wool модель.","VERIFIED"
"EXP-022","Шерстяные шарфы","EU","Begg x Co","Bernard Dark Natural Cashmere Lambswool Knitted Scarf","56% cashmere; 44% lambswool","190 × 22 cm","495","","GBP","","не указано","Add to bag","Отправка 2–4 рабочих дня; бесплатная UK-доставка; EU delivered DDP без пошлин, тарифов и import fees","14 дней; персонализированные/монограммированные изделия и носки не возвращаются","https://www.beggxco.com/products/bernard-dark-natural-cashmere-lambswool-knitted-scarf","Официальная PDP; luxury anchor; раскрытый cashmere/lambswool blend и размер соответствуют gate.","VERIFIED"
"EXP-056","Шали/палантины","DE","PURSCHOEN","Kaschmirschal Stone II","100% cashmere","195 × 85 cm; large stole","239","","EUR","239","inkl. MwSt. zzgl. Versand","Add to cart; одновременно сообщение Selected quantity exceeds current stock","не указано","не указано","https://purschoen.de/products/stone-ii-schal","Официальная DE PDP; SKU 247/4015/OS; wide cashmere stole; конфликтующие stock-сигналы сохранены в availability.","VERIFIED"
"EXP-057","Шали/палантины","DE","Falconeri","Kaschmirstola Damen / Cashmere Stole","100% cashmere","208 × 62 cm; large stole","188","","EUR","188","не указано","Select size; Add to cart","не указано","30 дней; бесплатно в магазинах; возможен возврат курьером, стоимость не указана","https://www.falconeri.com/de/product/kaschmirstola_damen-DZ00195.html?dwvar_DZ00195_Z_COL_FALCD=9215","Официальная DE PDP; code DZ00195; отдельная stole-модель, цена, состав и размер подтверждены.","VERIFIED"
"EXP-058","Шали/палантины","NL","REPEAT cashmere","Stijlvolle vierkante cashmere sjaal met strepen en dekensteek","100% GOTS organic cashmere","140 × 140 cm; large square stole","399.95","","EUR","399.95","incl BTW","Unavailable / notify me; PDP также указывает изготовление под заказ","NL доставка €4.95, бесплатно от €99; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней","Возврат с небольшой комиссией; сумма не указана","https://www.repeatcashmere.com/nl/stijlvolle-vierkante-cashmere-sjaal-met-strepen-en-dekensteek/700561-8366.html","Официальная NL PDP; article 700561-8366; отдельная квадратная stole-модель.","VERIFIED"
"EXP-059","Шали/палантины","NL","Joe Merino","Scarf Julia Navy","100% superfine merino wool; non-mulesed","210 × 70 cm; large stole; ≈320 g","100","","EUR","100","Incl.btw","One Size; last units / discontinued; Add to cart","Бесплатная доставка; заказ до 23:00 отправляется в тот же день","Бесплатный возврат; 100 дней","https://www.joemerino.com/nl_nl/scarf-julia-navy/","Официальная NL PDP; цена показана как Vanaf 100,-; текущая карточка помечает модель последними экземплярами/снятием с линейки.","VERIFIED"
"EXP-060","Шали/палантины","NL","Filippa K","Monogram Scarf — Light Beige","60% recycled wool (GRS); 20% mulesing-free merino wool; 10% cashmere; 10% recycled cashmere (GRS)","200 × 50 cm; compact shawl","85","170","EUR","85","не указано","ONE-S; Add to bag","Бесплатная доставка для участников; 2–4 дня","14 дней; комиссия €4; возврат в магазин бесплатно","https://www.filippa-k.com/nl/en/monogram-scarf/31011-0213.html","Официальная NL PDP; article 31011-0213-ONE-S; раскрыты все доли wool/cashmere blend; отдельная модель.","VERIFIED"
"EXP-061","Шали/палантины","PL","Wólczanka","Szal z wełny — kremowy","100% wool","200 × 40 cm; compact shawl","99.99","199.99","PLN","","не указано","Universal; notify signal; one boutique; tylko online","Бутик 0 PLN; DPD Pickup 8.79 PLN; Orlen Paczka 8.99 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN; InPost courier 14.99 PLN","30 дней","https://wolczanka.pl/kremowy-szal-wolczanka-62632-1","Официальная PL PDP; code 0000JX5581; текущая и regular price подтверждены; противоречивые stock-сигналы сохранены.","VERIFIED"
"EXP-062","Шали/палантины","PL","Answear.LAB","Szal damski z dodatkiem wełny — różowy","80% modal; 15% wool; 5% cashmere","206 × 80 cm; large stole","83.99","159.99","PLN","","не указано","ONE; Add to cart","Доставка возможна в течение 24 часов; бесплатно от 280 PLN","30 дней","https://answear.com/p/answear-lab-szal-damski-z-dodatkiem-welny-rozowy-1683373","Официальная PDP ритейлера Answear; model MLC.iak; product ID BPY2-SAD040_03X; раскрытый blend и large-stole размер.","VERIFIED"
"EXP-063","Шали/палантины","SE","Soft Goat","Knitted Scarf — Black","100% cashmere","192 × 60 cm; large stole","2500","","SEK","","не указано","не указано","не указано","не указано","https://softgoat.com/se/p/knitted-scarf-black/","Официальная SE PDP была индексирована с 2,500 SEK, 100% cashmere и 192 × 60 cm; повторное открытие перенаправило экстрактор на US locale, поэтому live stock и сервисные условия SE не подтверждены.","PARTIAL"
"EXP-064","Шали/палантины","SE","Davida Cashmere","Rectangular Scarf — Mink","100% cashmere","200 × 45 cm; compact shawl","850","1699","SEK","","не указано","One Size; Add to cart","Швеция 1–2 дня; EU 2–5 дней; бесплатная EU-доставка от €200","не указано","https://davidacashmere.com/products/rectangular-scarf-accessories-mink","Официальная PDP; отдельная Rectangular Scarf model; sale и regular price видны.","VERIFIED"
"EXP-065","Шали/палантины","BE","Essentiel Antwerp","Olijfgroene wol-kasjmier sjaalkraag","97% wool; 3% cashmere","150 × 54 cm; large shoulder wrap","135","","EUR","135","не указано","Select size; явный stock-сигнал не указан","не указано","не указано","https://www.essentiel-antwerp.com/be_nl/p/green-scarf-kaap","Официальная BE-localized PDP; reference KAAP-OG24; раскрытый wool/cashmere blend и размер.","VERIFIED"
"EXP-066","Шали/палантины","EU","Johnstons of Elgin","Raeburn Light Brown Cashmere Travel Stole","100% cashmere","180 × 90 cm; large stole","395","","GBP","","не указано","Coming Soon; PDP также показывает Add to bag","Бесплатная доставка всех онлайн-заказов","14 дней; вышивка исключает возврат","https://johnstonsofelgin.com/products/raeburn-light-brown-cashmere-travel-stole","Официальная PDP; SKU HAA03407; luxury travel-stole anchor; противоречивые launch/cart сигналы сохранены.","VERIFIED"
