№,Товарная группа,Бренд,Товар,Рынок/витрина,Страна,Валюта,Обычная цена,Цена со скидкой,Состав,Ценовой уровень,Статус товара,Почему важен,Источник,Дата среза,Ограничения
81,Кашемировый шарф,Loro Piana,Schal — Brown/Green Galles Mouliné,EU,ЕС,Евро,780,,100% cashmere,,В наличии,Официальная карточка DE/EU; товар FXM0131; отдельный артикул и верхний ориентир люксового сегмента.,"=HYPERLINK(""https://de.loropiana.com/de/herren/accessoires/schals/schal-FXM0131_F8NR.html"";""Открыть ↗"")",16.09.2026,Размер: 180 × 45 cm. НДС на странице: не указано. Наличие на странице: One size available; Add to cart. Доставка: Бесплатная доставка; DHL Express по Европе 3–5 рабочих дней. Возврат: Бесплатный возврат; 30 дней.
82,Шерстяной шарф,Joe Merino,Classic Scarf True Navy,NL,Нидерланды,Евро,60,,100% superfine merino wool; non-mulesed,,В наличии,"Официальная NL карточка товара; отдельная шерстяная модель Classic Scarf, не cashmere артикул из EXP-001.","=HYPERLINK(""https://www.joemerino.com/nl_nl/classic-scarf-true-navy/"";""Открыть ↗"")",16.09.2026,Размер: 180 × 30 cm. НДС на странице: Incl.btw. Наличие на странице: Add to cart / stock signal present. Доставка: Бесплатная доставка; заказ до 23:00 отправляется в тот же день PostNL. Возврат: Бесплатный возврат; 100 дней.
83,Шерстяной шарф,ARKET,Wool Scarf — Black,NL,Нидерланды,Евро,49,,100% wool,,В наличии,Официальная NL карточка товара; style 1260190004; отличается от ранее собранного style 1260190001.,"=HYPERLINK(""https://www.arket.com/en-nl/product/wool-scarf-black-1260190004/"";""Открыть ↗"")",16.09.2026,Размер: 190 × 30 cm. НДС на странице: не указано. Наличие на странице: Add to bag. Доставка: не указано. Возврат: не указано.
84,Шерстяной шарф,REPEAT cashmere,Warme kabelsjaal van merinowol,NL,Нидерланды,Евро,139.95,89.95,100% merino wool,,Нет в наличии,Официальная NL карточка товара; article 700297-1025-0; отдельная merino модель с текущей и обычная цена.,"=HYPERLINK(""https://www.repeatcashmere.com/nl/warme-kabelsjaal-van-merinowol---een-maat-comfort/700297-1025-0.html"";""Открыть ↗"")",16.09.2026,Размер: 200 × 25 cm. НДС на странице: incl BTW. Наличие на странице: Unavailable / notify me; PDP также указывает изготовление под заказ. Доставка: Бесплатная доставка; 3–6 рабочих дней; изготовление под заказ — до 15 рабочих дней. Возврат: Возврат с небольшой комиссией; сумма не указана.
85,Шерстяной шарф,Wólczanka,Wełniany szal w prążki — czarny,PL,Польша,Польский злотый,249.99,129.99,100% merino wool,,Уточнить,Официальная PL карточка товара; код 0000JX5568; противоречивые online/store stock-сигналы сохранены без интерпретации.,"=HYPERLINK(""https://wolczanka.pl/czarny-szal-wolczanka-63024-1"";""Открыть ↗"")",16.09.2026,Размер: 180 × 30 cm. НДС на странице: не указано. Наличие на странице: Universal; notify signal; dostępność w butikach; tylko online. Доставка: Бутик 0 PLN; DPD Pickup 8.49 PLN; DPD courier 12 PLN; InPost locker 13.99 PLN. Возврат: 30 дней.
86,Шерстяной шарф,COS,Ribbed Wool Scarf,PL,Польша,Польский злотый,325,180,100% RWS wool,,В наличии,"Официальная PL карточка товара COS на домене группы H&M; style 1315398001; замена массового сегмента кандидата Reserved; цена, обычная цена, состав и размер подтверждены.","=HYPERLINK(""https://www2.hm.com/pl_pl/productpage.1315398001.html"";""Открыть ↗"")",16.09.2026,Размер: 180 × 25.5 cm. НДС на странице: не указано. Наличие на странице: Add to cart. Доставка: не указано. Возврат: не указано.
87,Шерстяной шарф,Filippa K,Merino Check Scarf — Brown Check,SE,Швеция,Шведская крона,1400,,100% wool; mulesing-free merino,,В наличии,Официальная SE карточка товара; article 32627-0399-ONE-S; отдельная шерстяная модель.,"=HYPERLINK(""https://www.filippa-k.com/se/en/merino-check-scarf/32627-0399.html"";""Открыть ↗"")",16.09.2026,Размер: 190 × 50 cm. НДС на странице: не указано. Наличие на странице: ONE-S; Add to bag. Доставка: Бесплатная доставка для участников; 1–3 дня. Возврат: 14 дней; комиссия 40 SEK; возврат в магазин бесплатно.
88,Шерстяной шарф,Acne Studios,"Fringe Wool Scarf — Narrow, Light Grey Melange",SE,Швеция,Шведская крона,2100,,100% RWS wool,,В наличии,Официальная SE карточка товара; style CA0210-X92 / FN-UX-SCAR000218; отдельная wool модель.,"=HYPERLINK(""https://www.acnestudios.com/se/en/fringe-wool-scarf---narrow-light-grey-melange/CA0210-X92.html"";""Открыть ↗"")",16.09.2026,Размер: 200 × 45 cm including fringes; fringe ≈10 cm. НДС на странице: не указано. Наличие на странице: One size; Add to bag. Доставка: Бесплатная доставка; срок рассчитывается после ввода почтового индекса. Возврат: Бесплатный возврат с prepaid PostNord; возможен возврат в выбранные магазины.
89,Шерстяной шарф,Lapuan Kankurit,SAANA Wool Scarf — Dark Grey,FI,Финляндия,Евро,119,,100% merino wool,,В наличии,Официальная FI карточка товара; code 100739; Nordic design замена поискового seed MATKA; все обязательные product gates раскрыты.,"=HYPERLINK(""https://lapuankankurit.fi/shop/home-you/shawls-scarves/saana-wool-scarf-dark-grey-70-x-220-cm-fringes/"";""Открыть ↗"")",16.09.2026,Размер: 220 × 70 cm plus fringes; 0.38 kg. НДС на странице: inc. VAT. Наличие на странице: Add to cart; few left in Lapua and Helsinki stores. Доставка: Delivery time less than 7 days; порог бесплатной доставки не указан. Возврат: не указано.
90,Шерстяной шарф,Mads Nørgaard,NPS Scarf Wool — Red/Ecru,DK,Дания,Датская крона,350,,100% wool,,В наличии,Официальная DK карточка товара; style 102040; Nordic design замена seed Silkeborg; обе размерные версии раскрыты.,"=HYPERLINK(""https://www.madsnorgaard.dk/products/nps-scarf-wool-red-ecru"";""Открыть ↗"")",16.09.2026,Размер: Size 1: 145 × 31 cm; Size 2: 205 × 68 cm. НДС на странице: не указано. Наличие на странице: Sizes 1 and 2; Add to cart. Доставка: 1–3 рабочих дня; бесплатно в parcel shop от 799 DKK. Возврат: Return portal; срок не указан.
91,Шерстяной шарф,Johnstons of Elgin,Ethie Navy & Lime Wool Scarf,EU,ЕС,Евро,225,,100% lightweight wool,,Нет в наличии,Официальная DE/EU карточка товара; артикул WD001986; отдельная wool модель.,"=HYPERLINK(""https://johnstonsofelgin.com/de-de/products/ethie-navy-lime-wool-scarf"";""Открыть ↗"")",16.09.2026,Размер: 180 × 70 cm. НДС на странице: не указано. Наличие на странице: Sold out. Доставка: Бесплатная доставка всех онлайн-заказов. Возврат: 14 дней; персонализация исключает возврат.
92,Шерстяной шарф,Begg x Co,Bernard Dark Natural Cashmere Lambswool Knitted Scarf,EU,ЕС,Фунт стерлингов,495,,56% cashmere; 44% lambswool,,В наличии,Официальная карточка товара; luxury anchor; раскрытый cashmere/lambswool blend и размер соответствуют gate.,"=HYPERLINK(""https://www.beggxco.com/products/bernard-dark-natural-cashmere-lambswool-knitted-scarf"";""Открыть ↗"")",16.09.2026,"Размер: 190 × 22 cm. НДС на странице: не указано. Наличие на странице: Add to bag. Доставка: Отправка 2–4 рабочих дня; бесплатная UK-доставка; EU delivered DDP без пошлин, тарифов и import fees. Возврат: 14 дней; персонализированные/монограммированные изделия и носки не возвращаются."
93,Шерстяные носки,DILLING,Heren Wandelsokken Merinowol – wollen terry (PG-1760-0100-120),NL,Нидерланды,Евро,26.99,,68% органическая мериносовая шерсть; 12% полиэстер; 14% полиамид; 6% эластан,,В наличии,"[2026-09-16] Официальная карточка товара: отдельный артикул PG-1760-0100-120, цена, состав, размерный ряд и 1 stk; не является ранее зафиксированным PG-1700-0300-999.","=HYPERLINK(""https://www.dilling.nl/product/heren-wandelsokken-merinowol-wollen-terry-pg-1760-0100-120"";""Открыть ↗"")",16.09.2026,Размер: 39/42; 43/46; 47/50; единица продажи 1 stk. НДС на странице: Incl. BTW. Наличие на странице: Доступно к добавлению в корзину. Доставка: 2–4 рабочих дня из Дании; доставка от €4; бесплатно от €79. Возврат: 100 дней.
94,Шерстяные носки,FALKE,Airport Plus Heren Sokken (14403_3080),NL,Нидерланды,Евро,21,,53% scheerwol; 27% katoen; 20% polyamide; снаружи мериносовая шерсть,,В наличии,"[2026-09-16] Официальная NL карточка товара: отдельный артикул 14403_3080, цена, состав и размеры; не дубль Softmerino 47488_3009.","=HYPERLINK(""https://www.falke.com/nl_nl/p/airport-plus-heren-sokken/14403_3080/"";""Открыть ↗"")",16.09.2026,"Размер: 39–40; 41–42; количество 1. НДС на странице: Incl. btw, excl. verzendkosten. Наличие на странице: Доступно к добавлению в корзину; для персонализированной версии покупка после выбора опций. Доставка: 2–4 рабочих дня; €5.90; бесплатно от €49; персонализация добавляет 2–3 рабочих дня. Возврат: Бесплатный возврат в течение 14 дней."
95,Шерстяные носки,Meindl,MT7 Wandelsok (B22DAB0229),NL,Нидерланды,Евро,25.95,,39% мериносовая шерсть; 39% акрил; 19% полиамид; 3% эластан,,В наличии,"[2026-09-16] Официальная товарная карточка товара ритейлера Bever: отдельный артикул B22DAB0229, цена, состав и размерный ряд; multipack не заявлен.","=HYPERLINK(""https://www.bever.nl/p/meindl-mt7-wandelsok-B22DAB0229.html"";""Открыть ↗"")",16.09.2026,Размер: EU 39–41; 42–44; 45–47. НДС на странице: не указано. Наличие на странице: Размеры доступны для выбора; срок показывается после выбора размера. Доставка: €3.95 при заказе до €50; бесплатно от €50; самовывоз из магазина бесплатно. Возврат: 30 дней; возврат в магазин бесплатно или PostNL €4.95.
96,Шерстяные носки,Brubeck,Skarpety krótkie unisex MERINO WOOL (SC3003),PL,Польша,Польский злотый,27.99,,75% wełna merino; 17% polipropylen z jonami srebra; 4% elastan; 3% poliamid; 1% polipropylen,,В наличии,"[2026-09-16] Официальная карточка товара Brubeck: модель SC3003, цена 27.99 PLN, раскрытый состав, четыре размера и одна пара.","=HYPERLINK(""https://brubeck.pl/produkt/skarpety-krotkie-unisex-merino-wool/"";""Открыть ↗"")",16.09.2026,Размер: S 36–38; M 39–41; L 42–44; XL 45–47; 1 пара. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: Бесплатная доставка от 300 PLN; срок не указан. Возврат: 14 дней.
97,Шерстяные носки,Paterns,Skarpetki stopki merino czarne,PL,Польша,Польский злотый,59,,90% wełna merino; 8% poliamid; 2% elastan по разделу состава; заголовочный блок одновременно заявляет 100% merino,,В наличии,"[2026-09-16] На официальной карточка товара есть внутреннее противоречие: hero-блок говорит 100% merino, технический состав — 90/8/2; в карточку перенесён детальный состав. Минимальная цена за 30 дней также 59 PLN, поэтому отдельной обычная цена нет.","=HYPERLINK(""https://paterns.com/p/skarpetki-stopki-merino-czarne/"";""Открыть ↗"")",16.09.2026,Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 35–38; 39–41; 42–44; 45–47; отдельная пара. НДС на странице: не указано. Наличие на странице: Доступно к добавлению в корзину. Доставка: Бесплатная доставка; ожидаемая отправка/доставка 2 рабочих дня. Возврат: 14 дней.
98,Шерстяные носки,Woolpower,Socks 400 Black (FS30344; supplier 8414),SE,Швеция,Шведская крона,220,,64% merinoull; 32% polyamid; 4% elastan,,В наличии,"[2026-09-16] Официальная карточка товара ритейлера Outnorth: отдельная новая модель Woolpower Socks 400, артикул FS30344/8414, цена, состав и размер; не дубль Socks Liner Classic.","=HYPERLINK(""https://www.outnorth.com/se/varumarken/woolpower/socks-400-4627-FS30344"";""Открыть ↗"")",16.09.2026,"Размер: 36–39; отдельный SKU, multipack не заявлен. НДС на странице: не указано. Наличие на странице: Размер 36–39 доступен к добавлению в корзину. Доставка: 2–4 дня; PostNord pickup 49 SEK; бесплатно от 699 SEK. Возврат: 30 дней; возвратный сбор 29 SEK."
99,Шерстяные носки,Fjällräven,Fjällräven Quarter Wool Sock,SE,Швеция,Шведская крона,399,,70% wool; 15% polyamide; 15% elastane,,Нет в наличии,"[2026-09-16] Официальная SE карточка товара показывает цену, состав и статус отсутствия; размерный ряд взят из официальной таблицы размеров Fjällräven для носков.","=HYPERLINK(""https://www.fjallraven.com/se/sv-se/dam/accessoarer/ovriga-accessoarer/fjallraven-quarter-wool-sock-19d5652a/"";""Открыть ↗"")",16.09.2026,Размер: S 36–38; M 39–41; L 42–44; XL 45–47. НДС на странице: Priserna online omfattar lagstadgad moms. Наличие на странице: Kommer snart; Ej i lager. Доставка: PostNord 69 SEK; бесплатно при заказе свыше 1000 SEK; 4–6 рабочих дней. Возврат: 30 дней.
100,Шерстяные носки,Danish Endurance,"LIGHT CREW VANDRESTRØMPER (1-Pak, sort, variant 40944621813819)",DK,Дания,Датская крона,165,120,38% merinould; 30% akryl; 30% polyamid; 2% elastan,,В наличии,"[2026-09-16] Официальная DK карточка товара: цена продажи 120 DKK против 165 DKK, состав, диапазоны размеров и упаковка 1-Pak; ссылка фиксирует конкретный вариант.","=HYPERLINK(""https://danishendurance.com/da-dk/products/merinould-vandrestroemper-light?variant=40944621813819"";""Открыть ↗"")",16.09.2026,"Размер: 31–34 (waitlist); 35–38; 39–42; 43–47; 48–51; 1-pack. НДС на странице: Inkl. moms. Наличие на странице: På lager, klar til afsendelse; 31–34 в waitlist. Доставка: 49 DKK; бесплатно от 699 DKK; отправка на следующий рабочий день, обычно 1–2 рабочих дня по Дании. Возврат: 30 дней; возврат 39 DKK; обмен на тот же товар бесплатный."
101,Шерстяные носки,Sukkamestarit,"Peko – pihkasukat, merinovillaa (9339-155-35-38)",FI,Финляндия,Евро,20.15,15.11,48% NATIVA merinovilla; 31% polyamidi; 20% Prexelent mäntypolyamidi; 1% elastaani,,Уточнить,"[2026-09-16] Официальная карточка товара: текущая цена €15.11, regular €20.15, минимальная цена за 30 дней €12.09; состав и полный размерный ряд раскрыты.","=HYPERLINK(""https://sukkamestarit.com/products/peko"";""Открыть ↗"")",16.09.2026,Размер: 35–38; 39–42; 43–46; 47–50. НДС на странице: не указано. Наличие на странице: Зависит от варианта; на PDP присутствуют действия добавления в корзину и уведомления о поступлении. Доставка: 1–4 рабочих дня; от €5; бесплатно от €50; доставка домой от €10 и бесплатно от €100. Возврат: 14 дней.
102,Шерстяные носки,FALKE,"Walkie Light Unisex Bootsocken, black (16486_3000)",DE,Германия,Евро,21,,66% Schurwolle; 34% Polyamid; заявлена мериносовая шерсть,,В наличии,"[2026-09-16] Официальная DE карточка товара: отдельная модель и артикул 16486_3000, цена, состав и полный размерный ряд; не дубль Softmerino 47488_3009.","=HYPERLINK(""https://www.falke.com/de_de/p/walkie-light-unisex-bootsocken/16486_3000/"";""Открыть ↗"")",16.09.2026,Размер: 35–36; 37–38; 39–41; 42–43; 44–45; 46–48; количество 1. НДС на странице: inkl. MwSt. zzgl. Versand. Наличие на странице: Доступно к добавлению в корзину после выбора размера/опций. Доставка: 1–2 рабочих дня; €3.90; бесплатно от €49; вышивка добавляет 2–3 рабочих дня. Возврат: Бесплатный возврат в течение 14 дней.
103,Шерстяные носки,Aclima,Trekking Socks Jet Black (103981_103981-123),EU,ЕС,Евро,30,,70% merino wool; 28% polyamide; 2% elastane,,Уточнить,"[2026-09-16] Официальная EUR карточка товара: отдельный артикул, цена, состав и три диапазона размеров. Статус наличия и точные параметры платной доставки на странице не раскрыты; не дубль ранее собранных Devold артикул.","=HYPERLINK(""https://www.aclima.com/de-de/p/trekking-socks-jet-black"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 36–39; 40–43; 44–48; отдельный SKU, multipack не заявлен. НДС на странице: не указано. Наличие на странице: Размеры показаны в селекторе; явный текст наличия/кнопка корзины не зафиксированы. Доставка: Заявлена быстрая гибкая доставка; бесплатно от €150; точная стоимость и срок не указаны. Возврат: 30 дней."
104,Плед из яка,Ritter Decken,Himalaya Yakdecke — Dunkelbraun / 150 x 200 cm (SKU 1432),DE,Германия,Евро,369,,100% Yak auf Schurwollkette: ворс/поверхность 100% як на основе из новой шерсти,,В наличии,"Официальный карточка товара и данные выбранного варианта 44320578076989 подтверждают артикул 1432, цену, наличие и вес; формулировка конструкции сохранена, чтобы не выдавать основу из шерсти за як.","=HYPERLINK(""https://ritter-decken.de/products/himalaya-yakdecke?variant=44320578076989"";""Открыть ↗"")",16.09.2026,Размер: 150 x 200 cm. Масса/плотность: 1280 g; 400 g/m². НДС на странице: inkl. MwSt.. Наличие на странице: В наличии; выбранный вариант available=true. Доставка: 1–3 Werktage; бесплатная доставка по Германии от 100 EUR. Возврат: 14 дней; обратную доставку оплачивает покупатель.
105,Плед из яка,Wohnen & Accessoires,Sehr weiche Wolldecke Yak — Braun / 150 x 200 cm,DE,Германия,Евро,451.9,377.9,100% Yakwolle,,В наличии,"Официальный карточка товара ритейлера показывает отдельный размер 150 x 200 cm, цену со скидкой, прежнюю цену, состав, массу и плотность.","=HYPERLINK(""https://www.wolldecken-tagesdecken.de/sehr-weiche-wolldecke-yak-100-yakwolle-in-farbe-braun-von-groesse-75x100cm-150x220cm.html"";""Открыть ↗"")",16.09.2026,Размер: 150 x 200 cm. Масса/плотность: ca. 1500 g; 500 g/m². НДС на странице: inkl. MwSt. zzgl. Versandkosten. Наличие на странице: Доступна для заказа. Доставка: Срок на PDP не указан; бесплатная доставка DE/AT от 200 EUR. Возврат: Бесплатный возврат до 1 месяца; возвратная этикетка только для Германии.
106,Плед из яка,LaModula,Wolldecke Mia aus Yakwolle — 150 x 200 cm,DE,Германия,Евро,341,,100% Yakhaar / Yakwolle,,В наличии,"Официальный карточка товара бренда прямо раскрывает 100% yak, размер, массу, плотность, цену и срок поставки.","=HYPERLINK(""https://www.lamodula.de/kuscheldecke-mia"";""Открыть ↗"")",16.09.2026,"Размер: 150 x 200 cm. Масса/плотность: 1550 g; 520 g/m². НДС на странице: inkl. 19% MwSt.. Наличие на странице: Доступна для заказа. Доставка: 5–7 Werktage; бесплатная доставка по Германии, Австрии и Италии. Возврат: PDP исключает выбранное/индивидуальное изделие из добровольной 6-недельной гарантии возврата; иные условия не указаны на PDP."
107,Плед из яка,Steinbeck,Altai Wolldecke — Braun / 150 x 200 cm (Art. 306778),DE,Германия,Евро,413.5,279,50% Yak / 50% Lammwolle,,В наличии,"Официальный карточка товара ритейлера и данные варианта подтверждают состав, артикул, цену 279 EUR, compare-at 413.50 EUR, размер, массу и наличие.","=HYPERLINK(""https://www.oeko-planet.com/products/steinbeck-altai-wolldecke-aus-lammwolle-yakhaare"";""Открыть ↗"")",16.09.2026,Размер: 150 x 200 cm. Масса/плотность: ca. 1500 g. НДС на странице: inkl. MwSt. zzgl. Versandkosten. Наличие на странице: Sofort verfügbar; выбранный вариант available=true. Доставка: 1–3 Werktage; бесплатная доставка по Германии от 50 EUR. Возврат: 14 дней; бесплатный возврат внутри Германии.
108,Плед из яка,Yumeko,Deken yak wol dark brown (SKU E201),NL,Нидерланды,Евро,369,,100% gekamde yakwol,,В наличии,"Официальный NL карточка товара бренда раскрывает артикул E201, 100% yak, размер, массу/плотность и цену.","=HYPERLINK(""https://www.yumeko.nl/deken-yak-wol-dark-brown"";""Открыть ↗"")",16.09.2026,"Размер: ca. 150 x 200 cm. Масса/плотность: ca. 1500 g; 500 g/m². НДС на странице: не указано на PDP. Наличие на странице: Доступна для заказа. Доставка: В будни до 17:00 отправка в тот же день; обычно 1 рабочий день; бесплатно от 49.95 EUR, иначе 4.90 EUR. Возврат: Бесплатный возврат в течение 30 дней; изделие должно быть неиспользованным и нестиранным."
109,Плед из яка,Brun de Vian-Tiran (retailer Deken.nl),Plaid Yaka — Brun naturel (SKU DKN40),NL,Нидерланды,Евро,458,,95% yack / 5% cachemire de Chine,,В наличии,"Официальный карточка товара ритейлера подтверждает конкретный артикул, цену, состав, плотность и наличие, но сам себе противоречит по размеру (140 x 200 и 140 x 180 cm).","=HYPERLINK(""https://deken.nl/product/plaid-yaka/"";""Открыть ↗"")",16.09.2026,"Качество подтверждения: частичное; причина указана в колонке «Почему важен». Размер: 140 x 200 cm в описании; 140 x 180 cm в характеристиках. Масса/плотность: ca. 230 g/m². НДС на странице: prijzen inclusief 21% BTW. Наличие на странице: В наличии; вариант Brun naturel доступен. Доставка: 5–10 рабочих дней; бесплатная доставка по Нидерландам свыше 50 EUR, иначе 4.95 EUR. Возврат: 14 рабочих дней; прямую стоимость возврата оплачивает покупатель."
110,Плед из яка,NURA WOOL,Handgemaakte wollen plaid zand beige (product 387),NL,Нидерланды,Евро,69,,70% yak wool / 30% cotton,,В наличии,"Официальный NL карточка товара бренда прямо показывает долю яка, хлопка, размер, вес, цену и остаток 19 шт.","=HYPERLINK(""https://nurawool.nl/product/handgemaakte-wollen-plaid/"";""Открыть ↗"")",16.09.2026,Размер: 240 x 120 cm. Масса/плотность: 550 g. НДС на странице: prijzen inclusief btw. Наличие на странице: 19 op voorraad. Доставка: Срок не указан; бесплатная доставка NL от 100 EUR / BE от 120 EUR. Возврат: Уведомление о возврате в течение 14 дней после получения и ещё 14 дней на отправку; обратную доставку оплачивает покупатель.
