"id","категория","товар_бренд","рынок","рейтинг","средний_рейтинг_карточки","число_оценок_карточки","дата_отзыва","точность_даты","job_to_be_done","драйвер_покупки","позитив","барьер_возражение","тональность","код_темы","фрагмент_или_пересказ","режим_фиксации","статус_покупки","группа_зависимости","риск_зависимой_выборки","источник_url","тип_источника","дата_проверки","ограничение"
"VOC-011","Плед из шерсти яка","Ritter Yakdecke Himalaya","DE","5","5","2","2026-03-02","точная","Получить лёгкое и очень тёплое укрытие для дивана или кровати.","редкое волокно, тепло и внешний вид","уют и тепло в холодную погоду","","позитив","WARMTH|INTERIOR","Красивый плед из яка хорошо согревает в холод.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","ottoDeYak","Один отзыв с карточки; остаётся риск самоотбора автора и нерепрезентативности.","https://www.otto.de/p/wohndecke-flauschige-yakdecke-himalaya-aus-100-yakwolle-dunkelbraun-ritter-decken-wolldecke-tagesdecke-100-yak-auf-schurwollkette-weitere-groessen-S0U2P0QS/","крупный маркетплейс, карточка товара","2026-09-15","Подтверждённая покупка; у карточки только две оценки, поэтому сигнал нельзя обобщать."
"VOC-012","Шерстяные / мериносовые носки","Varusteleka Merinowollsocken","DE","5","4.75","61","4 месяца назад","относительная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","прочность для регулярного использования","ощущаются добротно","","позитив","DURABILITY","Носки прочные и хорошо ощущаются в носке.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeSocks","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merinowollsocken-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-013","Шерстяные / мериносовые носки","Varusteleka Merinowollsocken","DE","3","4.75","61","5 месяцев назад","относительная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","посадка для ежедневных десятикилометровых маршрутов","первичная примерка приемлема","слишком свободная посадка и сомнение в ресурсе","негатив","SIZE_FIT|ACTIVE_USE|DURABILITY","В несшнурованных ботинках сидят слишком свободно для долгой ходьбы.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeSocks","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merinowollsocken-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-014","Шерстяные / мериносовые носки","Varusteleka Merinowollsocken","DE","5","4.75","61","7 месяцев назад","относительная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","универсальная повседневная пара","полностью соответствуют ожиданиям","","позитив","SIZE_FIT","Идеальные носки без заметных недостатков.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeSocks","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merinowollsocken-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-015","Шерстяные / мериносовые носки","Varusteleka Merinowollsocken","DE","5","4.75","61","7 месяцев назад","относительная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","проверенный комфорт на каждый день","сильное намерение повторной покупки","","позитив","REPEAT_BUY","Лучшие носки; хочется купить ещё пары.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeSocks","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merinowollsocken-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-016","Шерстяные / мериносовые носки","Varusteleka Merinowollsocken","DE","5","4.75","61","7 месяцев назад","относительная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","цена, качество и надёжная повседневность","заменили остальные носки","","позитив","PRICE_VALUE|REPEAT_BUY","Отличное соотношение цены и качества, ношу только их.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeSocks","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merinowollsocken-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-017","Перчатки из мериносовой шерсти","Varusteleka Merino Handschuhe","DE","5","4.62","45","7 месяцев назад","относительная","Согреть руки отдельно или тонким утепляющим слоем.","тепло и качество исполнения","тёплые и качественные","","позитив","WARMTH|DURABILITY","Перчатки действительно тёплые и выглядят добротно.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeGloves","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merino-handschuhe-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-018","Перчатки из мериносовой шерсти","Varusteleka Merino Handschuhe","DE","5","4.62","45","7 месяцев назад","относительная","Согреть руки отдельно или тонким утепляющим слоем.","простая надёжная мериносовая базовая вещь","ожидания выполнены","","позитив","QUALITY_CONSISTENCY","Качество полностью устраивает.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeGloves","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merino-handschuhe-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-019","Перчатки из мериносовой шерсти","Varusteleka Merino Handschuhe","DE","5","4.62","45","3 дня назад","относительная","Согреть руки отдельно или тонким утепляющим слоем.","проверенное семейное тепло","товар нравится нескольким членам семьи","","позитив","WARMTH|GIFT|REPEAT_BUY","Партнёрша перестала забирать мои перчатки после собственной пары.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeGloves","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merino-handschuhe-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-020","Перчатки из мериносовой шерсти","Varusteleka Merino Handschuhe","DE","5","4.62","45","6 дней назад","относительная","Согреть руки отдельно или тонким утепляющим слоем.","универсальность по температуре","эффективны в двух режимах носки","","позитив","LAYERING|WARMTH|VERSATILITY","Работают отдельно в прохладу и как подкладка в сильный мороз.","точный пересказ на русском; исходный длинный текст не сохранён","подтверждённая","varDeGloves","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merino-handschuhe-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-021","Перчатки из мериносовой шерсти","Varusteleka Merino Handschuhe","DE","4","4.62","45","11 дней назад","относительная","Согреть руки отдельно или тонким утепляющим слоем.","дополнительное утепление рук","хорошо работают под верхней парой","","позитив","LAYERING|WARMTH","Тёплые и особенно хороши как внутренние перчатки.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","varDeGloves","Повышенный: 5 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://varusteleka.com/de-de/products/varusteleka-merino-handschuhe-de","официальная локальная карточка бренда","2026-09-15","DE-витрина использует общий пул отзывов; дата показана относительно, страна автора не указана."
"VOC-022","Перчатки из мериносовой шерсти","Smartwool Merino Glove","DE","","4.1","9","2025-01-27","точная","Согреть руки отдельно или тонким утепляющим слоем.","компактная защита в переходную погоду","легко носить в кармане","недостаточно тепла для глубокого холода","смешанный","WARMTH|LAYERING|SIZE_FIT","Удобны в межсезонье, но не рассчитаны на сильный мороз.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeSmartGlove","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/smartwool-merino-glove-handschuhe-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; самоотчёт не доказывает объём продаж."
"VOC-023","Перчатки из мериносовой шерсти","Smartwool Merino Glove","DE","","4.1","9","2025-01-28","точная","Согреть руки отдельно или тонким утепляющим слоем.","ожидание плотной мериносовой защиты","","тонкость вызывает недоверие и возврат","негатив","TOO_THIN|WARMTH","Ткань слишком тонкая и просвечивает; в тепло не верится.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeSmartGlove","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/smartwool-merino-glove-handschuhe-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; самоотчёт не доказывает объём продаж."
"VOC-024","Перчатки из мериносовой шерсти","Smartwool Merino Glove","DE","","4.1","9","2026-01-31","точная","Согреть руки отдельно или тонким утепляющим слоем.","активность на холоде и управление слоями","работают для велосипеда и бега","","позитив","ACTIVE_USE|LAYERING|VERSATILITY","Подходят слоем для велосипеда или отдельно для бега.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeSmartGlove","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/smartwool-merino-glove-handschuhe-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; самоотчёт не доказывает объём продаж."
"VOC-025","Перчатки из мериносовой шерсти","Smartwool Merino Glove","DE","","4.1","9","2026-01-05","точная","Согреть руки отдельно или тонким утепляющим слоем.","тонкий дополнительный слой для сильного холода","утепляют без объёма","","позитив","LAYERING|WARMTH","Лёгкие, но достаточно тёплые под лыжными перчатками.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeSmartGlove","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/smartwool-merino-glove-handschuhe-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; самоотчёт не доказывает объём продаж."
"VOC-026","Шерстяные / мериносовые носки","Joha Wool Socks 5007","DE","","","","2024-02-02","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","лёгкая пара для путешествий и межсезонья","компактны и подходят для мягкой погоды","недостаточно плотные для зимы","смешанный","TOO_THIN|VERSATILITY|ACTIVE_USE","Для зимы тонковаты, зато удобны в поездках весной и осенью.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeJohaSocks","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/joha-wool-socks-5007-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда и сводный рейтинг в доступном фрагменте не показаны."
"VOC-027","Шерстяные / мериносовые носки","Joha Wool Socks 5007","DE","","","","2023-12-15","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","детская ежедневная носка без запаха","комфорт и контроль запаха","","позитив","NO_ODOR|SIZE_FIT","Детям удобно, запах не накапливается даже при ежедневной носке.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeJohaSocks","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/joha-wool-socks-5007-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда и сводный рейтинг в доступном фрагменте не показаны."
"VOC-028","Шерстяные / мериносовые носки","Joha Wool Socks 5007","DE","","","","2022-10-17","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","универсальная повседневная пара для партнёра","посадка, быстрое высыхание и терморегуляция","","позитив","SIZE_FIT|QUICK_DRY|NO_ODOR","Хорошо сидят, быстро сохнут и поддерживают комфортный микроклимат.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeJohaSocks","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/joha-wool-socks-5007-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда и сводный рейтинг в доступном фрагменте не показаны."
"VOC-029","Шерстяные / мериносовые носки","Joha Wool Socks 5007","DE","","","","2023-10-31","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","надёжная посадка в обуви","не сползают","очень быстрый износ","негатив","SIZE_FIT|DURABILITY","Не скользят, но протёрлись до дыр примерно за месяц.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeJohaSocks","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/joha-wool-socks-5007-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда и сводный рейтинг в доступном фрагменте не показаны."
"VOC-030","Шерстяные / мериносовые носки","Stoic Merino Wool Cushion Extreme Long","DE","","4.7","28","2025-02-15","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","защита стопы в жёсткой походной обуви","точная посадка, нет скольжения и мозолей","","позитив","SIZE_FIT|ACTIVE_USE|PRICE_VALUE","Узкой длинной стопе подходят; амортизация спасает в жёстких ботинках.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeStoicSocks","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/stoic-merino-wool-cushion-extreme-long-socks-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; условия носки различаются."
"VOC-031","Шерстяные / мериносовые носки","Stoic Merino Wool Cushion Extreme Long","DE","","4.7","28","2025-10-06","точная","Сохранять тепло и комфорт ног при ходьбе, работе или поездках.","тёплая пара для активной носки","до стирки были тёплыми и удобными","нестабильная посадка после ухода","негатив","CARE_LIMIT|SHAPE_LOSS|SIZE_FIT","После первой стирки посадка ухудшилась, носки сползают.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","bfDeStoicSocks","Повышенный: 2 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www.bergfreunde.de/stoic-merino-wool-cushion-extreme-long-socks-merinosocken-bewertung/","крупный специализированный ритейлер, страница отзывов","2026-09-15","Индивидуальная звезда в доступном фрагменте не показана; условия носки различаются."
"VOC-032","Шерстяной шарф","& Other Stories Wool Fringe Scarf","NL","4","4.7","19","2023-10-31","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","светлый цвет и качество шерсти","качество понравилось","жёлтый подтон привёл к возврату","смешанный","COLOR_MISMATCH|PHOTO_ACCURACY","Качество хорошее, но белый оттенок оказался желтее фото.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlWool","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-033","Шаль / палантин","& Other Stories Wool Fringe Scarf","NL","5","4.7","19","2024-01-21","точная","Укутать плечи в прохладу и носить аксессуар несколькими способами.","размер, мягкость и умеренная толщина","гибко укутывается и не выглядит громоздко","","позитив","SOFTNESS|WARMTH|SIZE_FIT|VERSATILITY","Большой и мягкий, греет без лишнего объёма.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlWool","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-034","Шерстяной шарф","& Other Stories Wool Fringe Scarf","NL","5","4.7","19","2023-11-10","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","длина и качество","хорошая длина и исполнение","непрактичный светлый оттенок для макияжа","смешанный","SIZE_FIT|COLOR_MISMATCH","Длинный и качественный, но светлый цвет боится косметики.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlWool","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-035","Шерстяной шарф","& Other Stories Wool Fringe Scarf","NL","4","4.7","19","2023-11-10","точная","Согреть шею и дополнить верхнюю одежду без лишнего объёма.","качество и сочетание с гардеробом","качество и цвет сами по себе хороши","оттенок не подходит человеку","смешанный","COLOR_MATCH|COLOR_MISMATCH","Цвет и качество хорошие, однако оттенок не подошёл.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlWool","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1095302001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине H&M Group могут быть синдицированы; статус покупки не показан."
"VOC-036","Кашемировый шарф","COS Cashmere Scarf","NL","3","4.7","6","2023-12-03","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","визуально плотный премиальный шарф","материал приемлемого качества","фото завышает ощущение плотности","негатив","TOO_THIN|PHOTO_ACCURACY","Кашемир качественный, но заметно тоньше, чем выглядит на фото.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCosCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1032425001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-037","Кашемировый шарф","COS Cashmere Scarf","NL","5","4.7","6","2023-11-20","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","мягкое тепло в сдержанном формате","мягкость, тепло и компактность","","позитив","SOFTNESS|WARMTH|SIZE_FIT","Мягкий, тёплый и аккуратный по размеру.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCosCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1032425001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-038","Кашемировый шарф","COS Cashmere Scarf","NL","5","4.7","6","2024-02-14","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","тактильность и тепло кашемира","мягкость и тепло","","позитив","SOFTNESS|WARMTH","Очень мягкий и хорошо сохраняет тепло.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCosCashmere","Повышенный: 3 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1032425001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Малая база отзывов; локальная витрина может показывать синдицированный пул."
"VOC-039","Кашемировый шарф","H&M Cashmere Scarf","NL","5","4.4","33","2023-08-07","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","кашемир без раздражения кожи","тонкий материал остаётся тёплым и не колется","не хватает ярких оттенков","смешанный","LOW_ITCH|WARMTH|COLOR_MISMATCH","Не колется: тонкий, но тёплый; хочется ярче цветов.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCashmere","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1021270001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
"VOC-040","Кашемировый шарф","H&M Cashmere Scarf","NL","3","4.4","33","2023-10-24","точная","Получить мягкое тепло у лица без зуда и лишнего веса.","плотность и точный цвет с карточки","","не совпали толщина и оттенок","негатив","TOO_THIN|COLOR_MISMATCH|PHOTO_ACCURACY","Слишком тонкий, а оттенок темнее и серее фотографии.","точный пересказ на русском; исходный длинный текст не сохранён","не указан","hmNlCashmere","Повышенный: 4 отзывов взяты с одной карточки; это голоса, а не независимые рыночные замеры.","https://www2.hm.com/nl_nl/productpage.1021270001.html","крупный ритейлер, локальная карточка товара","2026-09-15","Отзывы на локальной витрине могут быть синдицированы; статус покупки не показан."
